category,type,product_group,brand,product_name,size_mm,size_inch,product_code,length,unit,mrp,selling_price,purchase_price,discount,image_url,is_active
Pipes & Tubing,CPVC,(YELLOW),Astral,(YELLOW),,,M004901018,,pcs,1485,1485,,,,true
Fittings,CPVC,(YELLOW),Astral,(YELLOW),,,M512401007,,pcs,531,531,,,,true
Fittings,CPVC,(YELLOW),Astral,(YELLOW),,,M512401008,,pcs,744,744,,,,true
Fittings,CPVC,(YELLOW),Astral,(YELLOW),,,M512401009,,pcs,1165,1165,,,,true
Fittings,CPVC,-SOC,Astral,-SOC,,,M512400241,,pcs,956,956,,,,true
Fittings,CPVC,-SOC,Astral,-SOC,,,M512400248,,pcs,1581,1581,,,,true
Fittings,CPVC,-SOC,Astral,-SOC,,,M512400249,,pcs,1673,1673,,,,true
Fittings,CPVC,-SOC,Astral,-SOC,,,M512400107,,pcs,1176,1176,,,,true
Fittings,CPVC,-SOC,Astral,-SOC,,,M512400108,,pcs,1732,1732,,,,true
Fittings,CPVC,-SOC,Astral,-SOC,,,M512400109,,pcs,3063,3063,,,,true
Fittings,CPVC,TEE - SOC,Astral,TEE - SOC,,,M512400507,,pcs,836,836,,,,true
Fittings,CPVC,TEE - SOC,Astral,TEE - SOC,,,M512400508,,pcs,1227,1227,,,,true
Fittings,CPVC,TEE - SOC,Astral,TEE - SOC,,,M512400509,,pcs,2013,2013,,,,true
Fittings,CPVC,ELBOW 90° - SOC,Astral,ELBOW 90° - SOC,,,M512401941,,pcs,659,659,,,,true
Fittings,CPVC,ELBOW 90° - SOC,Astral,ELBOW 90° - SOC,,,M512401948,,pcs,976,976,,,,true
Fittings,CPVC,ELBOW 90° - SOC,Astral,ELBOW 90° - SOC,,,M512401949,,pcs,1003,1003,,,,true
Fittings,CPVC,BEND WITH,Astral,BEND WITH,,,M512404107,,pcs,378,378,,,,true
Fittings,CPVC,BEND WITH,Astral,BEND WITH,,,M512404108,,pcs,567,567,,,,true
Fittings,CPVC,BEND WITH,Astral,BEND WITH,,,M512404109,,pcs,982,982,,,,true
Fittings,CPVC,END CAP - SOC,Astral,END CAP - SOC,,,M512401141,,pcs,765,765,,,,true
Fittings,CPVC,END CAP - SOC,Astral,END CAP - SOC,,,M512401148,,pcs,1074,1074,,,,true
Fittings,CPVC,END CAP - SOC,Astral,END CAP - SOC,,,M512401149,,pcs,1074,1074,,,,true
Fittings,CPVC,Astral Product,Astral,Astral Product,,,M512800507,,pcs,1405,1405,,,,true
Fittings,CPVC,Astral Product,Astral,Astral Product,,,M512800508,,pcs,2063,2063,,,,true
Fittings,CPVC,Astral Product,Astral,Astral Product,,,M512800509,,pcs,3502,3502,,,,true
Fittings,CPVC,Astral Product,Astral,Astral Product,,,M512800510,,pcs,8177,8177,,,,true
Fittings,CPVC,Astral Product,Astral,Astral Product,,,M512800511,,pcs,16521,16521,,,,true
Fittings,CPVC,Astral Product,Astral,Astral Product,,,M512800512,,pcs,27386,27386,,,,true
Fittings,CPVC,20.0 X15.0,Astral,20.0 X15.0,,,M512801141,,pcs,1170,1170,,,,true
Fittings,CPVC,20.0 X15.0,Astral,20.0 X15.0,,,M512801148,,pcs,1672,1672,,,,true
Fittings,CPVC,20.0 X15.0,Astral,20.0 X15.0,,,M512801149,,pcs,1915,1915,,,,true
Fittings,CPVC,20.0 X15.0,Astral,20.0 X15.0,,,M512801156,,pcs,4700,4700,,,,true
Fittings,CPVC,20.0 X15.0,Astral,20.0 X15.0,,,M512801157,,pcs,5060,5060,,,,true
Fittings,CPVC,20.0 X15.0,Astral,20.0 X15.0,,,M512801158,,pcs,5232,5232,,,,true
Fittings,CPVC,20.0 X15.0,Astral,20.0 X15.0,,,M512801167,,pcs,8295,8295,,,,true
Fittings,CPVC,20.0 X15.0,Astral,20.0 X15.0,,,M512801168,,pcs,8938,8938,,,,true
Fittings,CPVC,(IPS X IPS),Astral,(IPS X IPS),,,M512801707,,pcs,2612,2612,,,,true
Fittings,CPVC,(IPS X IPS),Astral,(IPS X IPS),,,M512801708,,pcs,3136,3136,,,,true
Fittings,CPVC,(IPS X IPS),Astral,(IPS X IPS),,,M512801709,,pcs,6822,6822,,,,true
Fittings,CPVC,FEMALE ADAPTOR,Astral,FEMALE ADAPTOR,,,M512801307,,pcs,589,589,,,,true
Fittings,CPVC,FEMALE ADAPTOR,Astral,FEMALE ADAPTOR,,,M512801308,,pcs,812,812,,,,true
Fittings,CPVC,FEMALE ADAPTOR,Astral,FEMALE ADAPTOR,,,M512801309,,pcs,1528,1528,,,,true
Fittings,CPVC,MALE ADAPTOR,Astral,MALE ADAPTOR,,,M512801607,,pcs,571,571,,,,true
Fittings,CPVC,MALE ADAPTOR,Astral,MALE ADAPTOR,,,M512801608,,pcs,918,918,,,,true
Fittings,CPVC,MALE ADAPTOR,Astral,MALE ADAPTOR,,,M512801609,,pcs,1552,1552,,,,true
Fittings,CPVC,4 X 3,Astral,4 X 3,,,M512800241,,pcs,1116,1116,,,,true
